Conf. Urgente S;First Line
Conf. Urgente S;FONDEIG 90A
Conf. Urgente S;INFLAMMABLES 32A
Conf. Urgente S;INFLAMMABLES 32B
Conf. Urgente S;INFLAMMABLES 32C
Conf. Urgente S;INFLAMMABLES 32D
Conf. Urgente S;INFLAMMABLES 32E
Conf. Urgente S;INFLAMMABLES 32F
Conf. Urgente S;INFLAMMABLES 32G
Conf. Urgente S;INFLAMMABLES 33B
Conf. Urgente S;INFLAMMABLES 34B
Conf. Urgente S;LEPANTO 27A
Conf. Urgente S;LEPANTO 27B
Conf. Urgente S;NOU CONTRADIC C 33C
Conf. Urgente S;OESTE 23A
Conf. Urgente S;Paso A Campa
Conf. Urgente S;Paso M Contrad.
Conf. Urgente S;Paso M Sur
Conf. Urgente S;Paso Torre
Conf. Urgente S;PONIENTE 20A
Conf. Urgente S;PONIENTE 20C
Conf. Urgente S;PONIENTE 20D
Conf. Urgente S;Practico S
Conf. Urgente S;PRAT 36A
Conf. Urgente S;PRINCEP D'ESPANYA 28A
Conf. Urgente S;SUD (EN ESPERA) 24X
Conf. Urgente S;SUD (SUD) 24C
Conf. Urgente S;SUR (EST) 24B
Conf. Urgente S;SUR (NORD) 24A
CONTRADIC (EST) 22B;BARCELONA 18B
CONTRADIC (EST) 22B;BARCELONA 18C
CONTRADIC (EST) 22B;BOSCHI ALSINA 16A
CONTRADIC (EST) 22B;CATALUNYA 06C
CONTRADIC (EST) 22B;DIPOSIT 14A
CONTRADIC (EST) 22B;ESPANYA 15B
CONTRADIC (EST) 22B;First Line
CONTRADIC (EST) 22B;LLEVANT 02B
CONTRADIC (EST) 22B;LLEVANT 02D
CONTRADIC (EST) 22B;LLEVENT 02C
CONTRADIC (EST) 22B;MARINA'92 - NOU ESCAR 07A
CONTRADIC (EST) 22B;MARINA'92 - NOU ESCAR 08A
CONTRADIC (EST) 22B;MARINA'92 (NORD) 07C
CONTRADIC (EST) 22B;MOLL DEL DIC FLOTANT 03B
CONTRADIC (EST) 22B;MOLL DEL DIC SEC 03C
CONTRADIC (EST) 22B;OCCIDENTAL 05B
CONTRADIC (EST) 22B;P. DE LA PAU - DRASSANES 17B
CONTRADIC (EST) 22B;PESCADORS - BALEARS 10A
CONTRADIC (EST) 22B;PESCADORS - BALEARS 10B
CONTRADIC (EST) 22B;PESCADORS - BALEARS 11B
CONTRADIC (EST) 22B;PONIENTE 20B
CONTRADIC (EST) 22B;RELLOTGE 12A
CONTRADIC (NORD) 22A;DARSENA INTERIOR A 31A
CONTRADIC (NORD) 22A;DARSENA INTERIOR B 31B
CONTRADIC (NORD) 22A;DARSENA SUR 30A
CONTRADIC (NORD) 22A;DARSENA SUR 30B
CONTRADIC (NORD) 22A;Dique SUR
CONTRADIC (NORD) 22A;First Line
CONTRADIC (NORD) 22A;INFLAMMABLES 32A
CONTRADIC (NORD) 22A;INFLAMMABLES 32B
CONTRADIC (NORD) 22A;INFLAMMABLES 32C
CONTRADIC (NORD) 22A;INFLAMMABLES 32E
CONTRADIC (NORD) 22A;INFLAMMABLES 32F
CONTRADIC (NORD) 22A;INFLAMMABLES 32G
CONTRADIC (NORD) 22A;INFLAMMABLES 33B
CONTRADIC (NORD) 22A;INFLAMMABLES 34B
CONTRADIC (NORD) 22A;LEPANTO 27A
CONTRADIC (NORD) 22A;LEPANTO 27B
CONTRADIC (NORD) 22A;PONIENTE 20A
CONTRADIC (NORD) 22A;PONIENTE 20C
CONTRADIC (NORD) 22A;SUD (EN ESPERA) 24X
CONTRADIC (NORD) 22A;SUD (SUD) 24C
CONTRADIC (NORD) 22A;SUR (EST) 24B
CONTRADIC (NORD) 22A;SUR (NORD) 24A
CONTRADIC (SUD) 22C;ALVAREZ DE LA CAMPA 26A
CONTRADIC (SUD) 22C;CONTRADIC (NORD) 22A
CONTRADIC (SUD) 22C;DARSENA INTERIOR A 31A
CONTRADIC (SUD) 22C;DARSENA INTERIOR B 31B
CONTRADIC (SUD) 22C;DARSENA SUD 30C
CONTRADIC (SUD) 22C;DARSENA SUR 30A
CONTRADIC (SUD) 22C;DARSENA SUR 30B
CONTRADIC (SUD) 22C;Dique SUR
CONTRADIC (SUD) 22C;First Line
CONTRADIC (SUD) 22C;INFLAMMABLES 32A
CONTRADIC (SUD) 22C;INFLAMMABLES 32B
CONTRADIC (SUD) 22C;INFLAMMABLES 32C
CONTRADIC (SUD) 22C;INFLAMMABLES 32D
CONTRADIC (SUD) 22C;INFLAMMABLES 32E
CONTRADIC (SUD) 22C;INFLAMMABLES 32F
CONTRADIC (SUD) 22C;INFLAMMABLES 32G
CONTRADIC (SUD) 22C;INFLAMMABLES 33B
CONTRADIC (SUD) 22C;INFLAMMABLES 34B
CONTRADIC (SUD) 22C;LEPANTO 27A
CONTRADIC (SUD) 22C;LEPANTO 27B
CONTRADIC (SUD) 22C;PONIENTE 20A
CONTRADIC (SUD) 22C;PONIENTE 20C
CONTRADIC (SUD) 22C;PONIENTE 20D
